,country,continent,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
139,Poland,Europe,2020-04-10 09:45:32,51.9194,19.1451,5742,175,318,5249
140,Portugal,Europe,2020-04-10 09:45:32,39.3999,-8.2245,13956,409,205,13342
141,Qatar,Asia,2020-04-10 09:45:32,25.3548,51.1839,2376,6,206,2164
142,Romania,Europe,2020-04-10 09:45:32,45.9432,24.9668,5202,257,647,4298
143,Rwanda,Africa,2020-04-10 09:45:32,-1.9403,29.8739,113,0,7,106
144,Saint Kitts and Nevis,North America,2020-04-10 09:45:32,17.357822,-62.782998,11,0,0,11
145,Saint Lucia,North America,2020-04-10 09:45:32,13.9094,-60.9789,14,0,1,13
146,Saint Vincent and the Grenadines,North America,2020-04-10 09:45:32,12.9843,-61.2872,12,0,1,11
147,San Marino,Europe,2020-04-10 09:45:32,43.9424,12.4578,333,34,49,250
148,Sao Tome and Principe,Africa,2020-04-10 09:45:32,0.18636,6.613081,4,0,0,4
149,Saudi Arabia,Asia,2020-04-10 09:45:32,23.885942,45.079162,3287,44,666,2577
150,Senegal,Africa,2020-04-10 09:45:32,14.4974,-14.4524,250,2,123,125
151,Serbia,Europe,2020-04-10 09:45:32,44.0165,21.0059,2867,66,0,2801
152,Seychelles,Africa,2020-04-10 09:45:32,-4.6796,55.492,11,0,0,11
153,Sierra Leone,Africa,2020-04-10 09:45:32,8.460555000000001,-11.779889,7,0,0,7
154,Singapore,Asia,2020-04-10 09:45:32,1.2833,103.8333,1910,6,460,1444
155,Slovakia,Europe,2020-04-10 09:45:32,48.669,19.699,701,2,23,676
156,Slovenia,Europe,2020-04-10 09:45:32,46.1512,14.9955,1124,43,128,953
157,Somalia,Africa,2020-04-10 09:45:32,5.152149,46.199616,12,1,1,10
158,South Africa,Africa,2020-04-10 09:45:32,-30.5595,22.9375,1934,18,95,1821
159,South Sudan,Africa,2020-04-10 09:45:32,6.8770000000000024,31.307,3,0,0,3
160,Spain,Europe,2020-04-10 09:45:32,40.463667,-3.7492199999999998,157022,15843,55668,85511
161,Sri Lanka,Asia,2020-04-10 09:45:32,7.873054,80.77179699999998,190,7,50,133
162,Sudan,Africa,2020-04-10 09:45:32,12.8628,30.2176,15,2,2,11
163,Suriname,South America,2020-04-10 09:45:32,3.9193,-56.0278,10,1,4,5
164,Syria,Asia,2020-04-10 09:45:32,34.802075,38.99681500000001,19,2,4,13
165,Taiwan,Asia,2020-04-10 00:28:55,23.7,121.0,380,5,80,295
166,Tanzania,Africa,2020-04-10 09:45:32,-6.369028,34.888822,25,1,5,19
167,Thailand,Asia,2020-04-10 09:45:32,15.870032,100.992541,2473,33,1013,1427
168,Timor-Leste,Others,2020-04-10 09:45:32,-8.874217,125.727539,2,0,1,1
169,Togo,Africa,2020-04-10 09:45:32,8.6195,0.8248,73,3,24,46
170,Trinidad and Tobago,North America,2020-04-10 09:45:32,10.6918,-61.2225,109,8,1,100
171,Tunisia,Africa,2020-04-10 09:45:32,33.886917,9.537499,643,25,25,593
172,Turkey,Asia,2020-04-10 09:45:32,38.9637,35.2433,42282,908,2142,39232
173,Uganda,Africa,2020-04-10 09:45:32,1.373333,32.290275,53,0,0,53
174,Ukraine,Europe,2020-04-10 09:45:32,48.3794,31.1656,2203,69,61,2073
175,United Arab Emirates,Asia,2020-04-10 09:45:32,23.424076,53.847818000000004,2990,14,268,2708
176,Uruguay,South America,2020-04-10 09:45:32,-32.5228,-55.7658,473,7,206,260
177,Uzbekistan,Asia,2020-04-10 09:45:32,41.377491,64.585262,624,3,38,583
178,Venezuela,South America,2020-04-10 09:45:32,6.4238,-66.5897,171,9,84,78
179,Vietnam,Asia,2020-04-10 09:45:32,14.058323999999999,108.277199,255,0,144,111
180,West Bank and Gaza,Others,2020-04-10 09:45:32,31.9522,35.2332,266,1,44,221
181,Western Sahara,Others,2020-04-10 09:45:32,24.2155,-12.8858,4,0,0,4
182,Yemen,Asia,2020-04-10 09:45:32,15.552726999999999,48.516388,1,0,0,1
183,Zambia,Africa,2020-04-10 09:45:32,-13.133897,27.849332,39,1,24,14
184,Zimbabwe,Africa,2020-04-10 09:45:32,-19.015438,29.154857,11,3,0,8
